"virus";"material";"temperature";"humidity";"replicate";"time";"titer"
"SARS-CoV-1";"Copper";"21-23";"40";"3";"0";"3162.2776601683804"
"SARS-CoV-1";"Copper";"21-23";"40";"1";"1";"5623.4132519034993"
"SARS-CoV-1";"Copper";"21-23";"40";"2";"1";"316.22776601683825"
"SARS-CoV-1";"Copper";"21-23";"40";"3";"1";"1778.2794100389244"
"SARS-CoV-1";"Copper";"21-23";"40";"1";"4";"1778.2794100389244"
"SARS-CoV-1";"Copper";"21-23";"40";"2";"4";"1000"
"SARS-CoV-1";"Copper";"21-23";"40";"3";"4";"100"
"SARS-CoV-1";"Copper";"21-23";"40";"1";"8";"177.82794100389242"
"SARS-CoV-1";"Copper";"21-23";"40";"2";"8";"177.82794100389242"
"SARS-CoV-1";"Copper";"21-23";"40";"3";"8";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"1";"24";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"2";"24";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"3";"24";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"1";"48";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"2";"48";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"3";"48";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"1";"72";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"2";"72";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"3";"72";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"1";"96";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"2";"96";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"3";"96";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"1";"120";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"2";"120";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"3";"120";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"1";"144";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"2";"144";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"3";"144";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"1";"168";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"2";"168";"31.622776601683803"
"SARS-CoV-1";"Copper";"21-23";"40";"3";"168";"31.622776601683803"
"SARS-CoV-1";"Cardboard";"21-23";"40";"1";"0";"316.22776601683825"
"SARS-CoV-1";"Cardboard";"21-23";"40";"2";"0";"1000"
"SARS-CoV-1";"Cardboard";"21-23";"40";"3";"0";"562.34132519034927"
"SARS-CoV-1";"Cardboard";"21-23";"40";"1";"1";"1000"
"SARS-CoV-1";"Cardboard";"21-23";"40";"2";"1";"5.6234132519034921"
"SARS-CoV-1";"Cardboard";"21-23";"40";"3";"1";"10"
"SARS-CoV-1";"Cardboard";"21-23";"40";"1";"4";"5.6234132519034921"
"SARS-CoV-1";"Cardboard";"21-23";"40";"2";"4";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"3";"4";"100"
"SARS-CoV-1";"Cardboard";"21-23";"40";"1";"8";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"2";"8";"31.622776601683803"
"SARS-CoV-1";"Cardboard";"21-23";"40";"3";"8";"3.1622776601683795"
